,time,gFx,gFy,gFz,TgF,Actividad,Nombre,Telefono
0,0.001976,-0.101,0.9706,0.18,0.992,Standing,JBGG,Oppo
1,0.003133,-0.101,0.9699,0.1868,0.993,Standing,JBGG,Oppo
2,0.003919,-0.0942,0.9696,0.1954,0.994,Standing,JBGG,Oppo
3,0.011656,-0.0975,0.9716,0.2028,0.997,Standing,JBGG,Oppo
4,0.012304,-0.1022,0.9718,0.2126,1.0,Standing,JBGG,Oppo
5,0.016039,-0.0959,0.9733,0.2164,1.002,Standing,JBGG,Oppo
6,0.027358,-0.1033,0.9724,0.2236,1.003,Standing,JBGG,Oppo
7,0.027783,-0.0966,0.9724,0.2243,1.003,Standing,JBGG,Oppo
8,0.031013,-0.0861,0.9677,0.2299,0.998,Standing,JBGG,Oppo
9,0.043892,-0.0903,0.9677,0.2262,0.998,Standing,JBGG,Oppo
10,0.04493,-0.0961,0.9704,0.2218,1.0,Standing,JBGG,Oppo
11,0.046259,-0.0963,0.9738,0.2211,1.003,Standing,JBGG,Oppo
12,0.052359,-0.0932,0.9736,0.2243,1.003,Standing,JBGG,Oppo
13,0.056105,-0.1003,0.9753,0.2245,1.006,Standing,JBGG,Oppo
14,0.063396,-0.0942,0.9657,0.2318,0.998,Standing,JBGG,Oppo
15,0.065977,-0.0886,0.9724,0.2323,1.004,Standing,JBGG,Oppo
16,0.071428,-0.0842,0.9718,0.2382,1.004,Standing,JBGG,Oppo
17,0.076255,-0.091,0.9704,0.2406,1.004,Standing,JBGG,Oppo
18,0.081665,-0.0879,0.9682,0.2431,1.002,Standing,JBGG,Oppo
19,0.086693,-0.0937,0.9773,0.2404,1.011,Standing,JBGG,Oppo
20,0.091217,-0.0981,0.9773,0.2333,1.009,Standing,JBGG,Oppo
21,0.09629,-0.1015,0.9736,0.228,1.005,Standing,JBGG,Oppo
22,0.102301,-0.0963,0.9682,0.2243,0.998,Standing,JBGG,Oppo
23,0.107357,-0.0937,0.9708,0.2228,1.0,Standing,JBGG,Oppo
24,0.111435,-0.0963,0.9753,0.2199,1.004,Standing,JBGG,Oppo
25,0.116326,-0.0968,0.9716,0.2189,1.001,Standing,JBGG,Oppo
26,0.123174,-0.0935,0.9726,0.2147,1.0,Standing,JBGG,Oppo
27,0.126353,-0.0932,0.9689,0.2103,0.996,Standing,JBGG,Oppo
28,0.131648,-0.0924,0.9736,0.2189,1.002,Standing,JBGG,Oppo
