,time,gFx,gFy,gFz,TgF,Actividad,Nombre,Telefono
0,0.005929,-0.1662,0.9765,-0.0462,0.992,Walking,JBGG,Oppo
1,0.00696,-0.1485,0.989,-0.0608,1.002,Walking,JBGG,Oppo
2,0.00766,-0.112,0.9987,-0.0415,1.006,Walking,JBGG,Oppo
3,0.008282,-0.0839,0.9983,-0.0384,1.003,Walking,JBGG,Oppo
4,0.014415,-0.0483,0.9967,0.0319,0.998,Walking,JBGG,Oppo
5,0.015302,-0.0277,0.9757,0.0761,0.979,Walking,JBGG,Oppo
6,0.034241,-0.0216,0.9559,0.0971,0.961,Walking,JBGG,Oppo
7,0.035025,-0.0294,0.955,0.0994,0.961,Walking,JBGG,Oppo
8,0.03559,-0.0282,0.9694,0.1013,0.975,Walking,JBGG,Oppo
9,0.036151,-0.036,0.9794,0.0947,0.985,Walking,JBGG,Oppo
10,0.040523,-0.0429,0.9997,0.0952,1.005,Walking,JBGG,Oppo
11,0.045492,-0.0511,1.009,0.074,1.013,Walking,JBGG,Oppo
12,0.050626,-0.0563,1.0161,0.0642,1.02,Walking,JBGG,Oppo
13,0.055515,-0.0492,1.019,0.0617,1.022,Walking,JBGG,Oppo
14,0.060671,-0.0429,1.0212,0.0595,1.024,Walking,JBGG,Oppo
15,0.0679,-0.0458,1.029,0.0607,1.032,Walking,JBGG,Oppo
16,0.070716,-0.0467,1.031,0.0493,1.033,Walking,JBGG,Oppo
17,0.075809,-0.0436,1.0324,0.0407,1.034,Walking,JBGG,Oppo
18,0.08076,-0.0348,1.0293,0.0297,1.03,Walking,JBGG,Oppo
19,0.085623,-0.0318,1.0209,0.0211,1.022,Walking,JBGG,Oppo
20,0.090623,-0.0301,1.023,0.0109,1.023,Walking,JBGG,Oppo
21,0.095794,-0.0289,1.0226,-0.0166,1.023,Walking,JBGG,Oppo
22,0.111835,-0.0357,1.0268,-0.032,1.028,Walking,JBGG,Oppo
23,0.112493,-0.0306,1.0322,-0.0543,1.034,Walking,JBGG,Oppo
24,0.113092,-0.0362,1.0342,-0.0704,1.037,Walking,JBGG,Oppo
25,0.115818,-0.0399,1.0545,-0.0872,1.059,Walking,JBGG,Oppo
26,0.120992,-0.0492,1.0645,-0.099,1.07,Walking,JBGG,Oppo
27,0.125665,-0.0583,1.075,-0.0941,1.081,Walking,JBGG,Oppo
28,0.130767,-0.06,1.0766,-0.0897,1.082,Walking,JBGG,Oppo
29,0.135951,-0.0612,1.0766,-0.0846,1.082,Walking,JBGG,Oppo
30,0.140832,-0.0639,1.0715,-0.0643,1.075,Walking,JBGG,Oppo
31,0.145825,-0.0719,1.064,-0.034,1.067,Walking,JBGG,Oppo
32,0.150832,-0.0702,1.0566,-0.0075,1.059,Walking,JBGG,Oppo
33,0.156007,-0.0714,1.0554,0.0153,1.058,Walking,JBGG,Oppo
34,0.160953,-0.0758,1.0493,0.0349,1.053,Walking,JBGG,Oppo
35,0.16607,-0.0856,1.0498,0.0481,1.054,Walking,JBGG,Oppo
36,0.17173,-0.0807,1.0552,0.0693,1.061,Walking,JBGG,Oppo
