,time,gFx,gFy,gFz,TgF,Actividad,Nombre,Telefono
0,0.002623,-0.1374,0.9882,0.1954,1.017,Stairs,JBGG,Oppo
1,0.003873,-0.1182,0.9726,0.2296,1.006,Stairs,JBGG,Oppo
2,0.004848,-0.1152,0.9823,0.1917,1.007,Stairs,JBGG,Oppo
3,0.005701,-0.1208,1.0036,0.1194,1.018,Stairs,JBGG,Oppo
4,0.01029,-0.1196,1.029,0.0427,1.037,Stairs,JBGG,Oppo
5,0.023275,-0.1059,1.0425,-0.023,1.048,Stairs,JBGG,Oppo
6,0.024422,-0.0749,1.0545,-0.0522,1.058,Stairs,JBGG,Oppo
7,0.025342,-0.0495,1.0491,-0.0426,1.051,Stairs,JBGG,Oppo
8,0.030411,-0.0397,1.0654,0.0023,1.066,Stairs,JBGG,Oppo
9,0.037726,-0.0462,1.075,0.0632,1.078,Stairs,JBGG,Oppo
10,0.040554,-0.0519,1.0664,0.1204,1.074,Stairs,JBGG,Oppo
11,0.045493,-0.0665,1.0349,0.1727,1.051,Stairs,JBGG,Oppo
12,0.050867,-0.0786,1.0046,0.2238,1.032,Stairs,JBGG,Oppo
13,0.055735,-0.0923,0.9916,0.2411,1.025,Stairs,JBGG,Oppo
14,0.060501,-0.0959,0.9743,0.2294,1.006,Stairs,JBGG,Oppo
15,0.066784,-0.0776,0.9587,0.2108,0.985,Stairs,JBGG,Oppo
16,0.072675,-0.0639,0.9391,0.1812,0.959,Stairs,JBGG,Oppo
17,0.075656,-0.0576,0.923,0.1324,0.934,Stairs,JBGG,Oppo
18,0.080854,-0.0544,0.9088,0.0898,0.915,Stairs,JBGG,Oppo
19,0.085791,-0.0558,0.8981,0.051,0.901,Stairs,JBGG,Oppo
20,0.090728,-0.0495,0.8937,0.0297,0.896,Stairs,JBGG,Oppo
21,0.095893,-0.0553,0.8856,0.0272,0.888,Stairs,JBGG,Oppo
22,0.106955,-0.0583,0.8811,0.0116,0.883,Stairs,JBGG,Oppo
23,0.107723,-0.0539,0.8873,0.0065,0.889,Stairs,JBGG,Oppo
